A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image
0,0,0,0,0,0,0,0.75,0.5,0.5,0.5,0.0,0.0,P_00_00_00_00.png
0,0,0,9,0,0,9,1.0,0.5,0.5,0.0,0.5,0.5,P_00_00_00_09.png
0,0,0,18,0,0,18,1.0,0.5,0.5,0.0,0.5,0.5,P_00_00_00_18.png
0,0,0,36,0,0,36,1.0,0.5,0.5,0.0,0.5,0.5,P_00_00_00_36.png
0,0,9,0,0,9,9,1.0,0.5,0.5,1.0,-0.5,-449999.5,P_00_00_09_00.png
0,0,9,9,0,9,18,1.0,0.5,0.5,0.5,0.0,0.0,P_00_00_09_09.png
0,0,9,18,0,9,27,1.0,0.5,0.5,0.33,0.17,0.25,P_00_00_09_18.png
0,0,9,36,0,9,45,1.0,0.5,0.5,0.2,0.3,0.37,P_00_00_09_36.png
0,0,18,0,0,18,18,1.0,0.5,0.5,1.0,-0.5,-899999.5,P_00_00_18_00.png
0,0,18,9,0,18,27,1.0,0.5,0.5,0.67,-0.17,-0.5,P_00_00_18_09.png
0,0,18,18,0,18,36,1.0,0.5,0.5,0.5,0.0,0.0,P_00_00_18_18.png
0,0,18,36,0,18,54,1.0,0.5,0.5,0.33,0.17,0.25,P_00_00_18_36.png
0,0,36,0,0,36,36,1.0,0.5,0.5,1.0,-0.5,-1.7999995e6,P_00_00_36_00.png
0,0,36,9,0,36,45,1.0,0.5,0.5,0.8,-0.3,-1.5,P_00_00_36_09.png
0,0,36,18,0,36,54,1.0,0.5,0.5,0.67,-0.17,-0.5,P_00_00_36_18.png
0,0,36,36,0,36,72,1.0,0.5,0.5,0.5,0.0,0.0,P_00_00_36_36.png
0,9,0,0,9,0,9,0.0,1.0,0.0,0.5,-0.5,-1.0,P_00_09_00_00.png
0,9,0,9,9,0,18,0.5,1.0,0.0,0.0,0.0,0.0,P_00_09_00_09.png
0,9,0,18,9,0,27,0.67,1.0,0.0,0.0,0.0,0.0,P_00_09_00_18.png
0,9,0,36,9,0,45,0.8,1.0,0.0,0.0,0.0,0.0,P_00_09_00_36.png
0,9,9,0,9,9,18,0.5,1.0,0.0,1.0,-1.0,-899999.0,P_00_09_09_00.png
