A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,betweenTrial.started,betweenTrial.stopped,ISI.started,ISI.stopped,image_card.started,image_card.stopped,textbox.text,textbox.started,textbox.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_endPractice.started,image_endPractice.stopped,polygon_2.started,polygon_2.stopped,ISI_2.started,ISI_2.stopped,Cards.started,Cards.stopped,TextNote.started,TextNote.stopped,Estimation.text,Estimation.started,Estimation.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,participant,gender,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,23.52596619911492,None,space,4.267258800566196,23.52596619911492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
0,0,0,9,0,0,9,1.0,None,None,0.0,None,None,practice_stimuli/P_00_00_00_09.png,,0,0,0,0,,,,,,,,,,,27.894496899098158,None,27.894496899098158,None,28.256470700725913,None,0,28.256470700725913,None,None,28.256470700725913,None,28.256470700725913,None,,,,,,,,,,,,,,,,,,,,,,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
18,0,36,0,18,54,54,1.0,0.0,1.0,1.0,0.0,None,practice_stimuli/P_18_00_36_00.png,,0,1,1,1,,,,,,,,,,,36.26096970029175,None,36.26096970029175,None,36.6081422008574,None,40,36.6081422008574,None,None,36.6081422008574,None,36.6081422008574,None,,,,,,,,,,,,,,,,,,,,,,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
9,18,18,0,27,27,45,0.6,0.67,0.33,1.0,-0.67,#NAME?,practice_stimuli/P_09_18_18_00.png,,0,2,2,2,,,,,,,,,,,44.605855299159884,None,44.605855299159884,None,44.949593000113964,None,30,44.949593000113964,None,None,44.949593000113964,None,44.949593000113964,None,,,,,,,,,,,,,,,,,,,,,,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
36,18,18,36,54,54,108,0.83,0.33,0.67,0.33,0.33,0.5,practice_stimuli/P_36_18_18_36.png,,0,3,3,3,,,,,,,,,,,52.95977419987321,None,52.95977419987321,None,53.30266210064292,None,45,53.30266210064292,None,None,53.30266210064292,None,53.30266210064292,None,,,,,,,,,,,,,,,,,,,,,,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.455508001148701,61.304157700389624,None,,,,,,,,,,,,,,,,,,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
18,18,0,0,36,18,36,0.5,0.5,0.5,None,None,None,,stimuli/P_18_18_00_00.png,,,,,0,0,0,160,,,,,,,,,,,,,,,,,,,,,,,,,61.304157700389624,None,71.95776019990444,None,71.95776019990444,None,72.3400301001966,None,72.3400301001966,None,50,72.3400301001966,None,return,6.013600300997496,72.3400301001966,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
36,18,0,36,54,36,90,0.8,0.33,0.67,0.0,0.67,0.67,,stimuli/P_36_18_00_36.png,,,,,0,1,1,227,,,,,,,,,,,,,,,,,,,,,,,,,,,78.38945269957185,None,78.38945269957185,None,78.73065450042486,None,78.73065450042486,None,45,78.73065450042486,None,return,5.159797500818968,78.73065450042486,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
0,18,18,9,18,18,45,0.6,1.0,0.0,0.67,-0.67,-2.0,,stimuli/P_00_18_18_09.png,,,,,0,2,2,41,,,,,,,,,,,,,,,,,,,,,,,,,,,83.91210299916565,None,83.91210299916565,None,84.2558246999979,None,84.2558246999979,None,0,84.2558246999979,None,return,3.8654247000813484,84.2558246999979,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
36,36,18,0,72,54,90,0.6,0.5,0.5,1.0,-0.5,#NAME?,,stimuli/P_36_36_18_00.png,,,,,0,3,3,248,,,,,,,,,,,,,,,,,,,,,,,,,,,88.13372760079801,None,88.13372760079801,None,88.46674679964781,None,88.46674679964781,None,45,88.46674679964781,None,return,5.378862600773573,88.46674679964781,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
0,18,9,9,18,9,36,0.5,1.0,0.0,0.5,-0.5,-1.0,,stimuli/P_00_18_09_09.png,,,,,0,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88012339919806,None,93.88012339919806,None,94.22998240031302,None,94.22998240031302,None,0,94.22998240031302,None,return,3.1291992012411356,94.22998240031302,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
36,0,18,18,36,54,72,1.0,0.0,1.0,0.5,0.5,1.0,,stimuli/P_36_00_18_18.png,,,,,0,5,5,202,,,,,,,,,,,,,,,,,,,,,,,,,,,97.37952869944274,None,97.37952869944274,None,97.72707599960268,None,97.72707599960268,None,50,97.72707599960268,None,return,2.853591298684478,97.72707599960268,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
18,18,0,36,36,18,72,0.75,0.5,0.5,0.0,0.5,0.5,,stimuli/P_18_18_00_36.png,,,,,0,6,6,163,,,,,,,,,,,,,,,,,,,,,,,,,,,100.59445090033114,None,100.59445090033114,None,100.9430906008929,None,100.9430906008929,None,45,100.9430906008929,None,return,5.56610600091517,100.9430906008929,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
0,18,0,18,18,0,36,0.5,1.0,0.0,0.0,0.0,0.0,,stimuli/P_00_18_00_18.png,,,,,0,7,7,34,,,,,,,,,,,,,,,,,,,,,,,,,,,106.52516509965062,None,106.52516509965062,None,106.87498229928315,None,106.87498229928315,None,0,106.87498229928315,None,return,2.87289360165596,106.87498229928315,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
9,36,0,9,45,9,54,0.33,0.8,0.2,0.0,0.2,0.2,,stimuli/P_09_36_00_09.png,,,,,0,8,8,113,,,,,,,,,,,,,,,,,,,,,,,,,,,109.78461140021682,None,109.78461140021682,None,110.1145190000534,None,110.1145190000534,None,25,110.1145190000534,None,return,4.747400598600507,110.1145190000534,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
18,36,0,36,54,18,90,0.6,0.67,0.33,0.0,0.33,0.33,,stimuli/P_18_36_00_36.png,,,,,0,9,9,179,,,,,,,,,,,,,,,,,,,,,,,,,,,114.88047149963677,None,114.88047149963677,None,115.22729130089283,None,115.22729130089283,None,35,115.22729130089283,None,return,4.088179100304842,115.22729130089283,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
36,9,36,36,45,72,117,0.92,0.2,0.8,0.5,0.3,0.6,,stimuli/P_36_09_36_36.png,,,,,0,10,10,223,,,,,,,,,,,,,,,,,,,,,,,,,,,119.3362291008234,None,119.3362291008234,None,119.68601709976792,None,119.68601709976792,None,40,119.68601709976792,None,return,5.587489699944854,119.68601709976792,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
36,9,0,18,45,36,63,0.86,0.2,0.8,0.0,0.8,0.8,,stimuli/P_36_09_00_18.png,,,,,0,11,11,210,,,,,,,,,,,,,,,,,,,,,,,,,,,125.28993600048125,None,125.28993600048125,None,125.64309649914503,None,125.64309649914503,None,50,125.64309649914503,None,return,5.418403999879956,125.64309649914503,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
18,0,18,36,18,36,72,1.0,0.0,1.0,0.33,0.67,1.0,,stimuli/P_18_00_18_36.png,,,,,0,12,12,139,,,,,,,,,,,,,,,,,,,,,,,,,,,131.07539059966803,None,131.07539059966803,None,131.41512770019472,None,131.41512770019472,None,35,131.41512770019472,None,return,3.3955733999609947,131.41512770019472,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
36,9,18,0,45,54,63,0.86,0.2,0.8,1.0,-0.2,#NAME?,,stimuli/P_36_09_18_00.png,,,,,0,13,13,216,,,,,,,,,,,,,,,,,,,,,,,,,,,134.83946480043232,None,134.83946480043232,None,135.1850934997201,None,135.1850934997201,None,50,135.1850934997201,None,return,4.556465700268745,135.1850934997201,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
36,36,0,18,72,36,90,0.6,0.5,0.5,0.0,0.5,0.5,,stimuli/P_36_36_00_18.png,,,,,0,14,14,242,,,,,,,,,,,,,,,,,,,,,,,,,,,139.77035590074956,None,139.77035590074956,None,140.11667440086603,None,140.11667440086603,None,45,140.11667440086603,None,return,3.2339396998286247,140.11667440086603,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
0,18,0,9,18,0,27,0.33,1.0,0.0,0.0,0.0,0.0,,stimuli/P_00_18_00_09.png,,,,,0,15,15,33,,,,,,,,,,,,,,,,,,,,,,,,,,,143.37110329978168,None,143.37110329978168,None,143.71335219964385,None,143.71335219964385,None,0,143.71335219964385,None,return,2.826519699767232,143.71335219964385,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
18,18,9,36,36,27,81,0.78,0.5,0.5,0.2,0.3,0.37,,stimuli/P_18_18_09_36.png,,,,,0,16,16,167,,,,,,,,,,,,,,,,,,,,,,,,,,,146.565649099648,None,146.565649099648,None,146.9071823991835,None,146.9071823991835,None,35,146.9071823991835,None,return,3.856921300292015,146.9071823991835,None,,,HERUN,F,001,2023_Apr_18_1242,untitled,2021.1.4,60.1304831620093,
