A1C1,A1C0,A0C1,A0C0,A1,C1,Total,MI,C0GvA1,C1GvA1,C1GvA0,dltP,dltPp,Image_practice,Image,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,betweenTrial.started,betweenTrial.stopped,ISI.started,ISI.stopped,image_card.started,image_card.stopped,textbox.text,textbox.started,textbox.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_endPractice.started,image_endPractice.stopped,polygon_2.started,polygon_2.stopped,ISI_2.started,ISI_2.stopped,Cards.started,Cards.stopped,TextNote.started,TextNote.stopped,Estimation.text,Estimation.started,Estimation.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,participant,gender,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,20.137472686197725,None,space,97.40114267119498,20.137472686197725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,0,0,9,0,0,9,1.0,None,None,0.0,None,None,practice_stimuli/P_00_00_00_09.png,,0,0,0,0,,,,,,,,,,,117.69128194100631,None,117.69128194100631,None,118.29408963762398,None,40,118.29408963762398,None,None,118.29408963762398,None,118.29408963762398,None,,,,,,,,,,,,,,,,,,,,,,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,0,36,0,18,54,54,1.0,0.0,1.0,1.0,0.0,None,practice_stimuli/P_18_00_36_00.png,,0,1,1,1,,,,,,,,,,,126.31424595704448,None,126.31424595704448,None,126.8145130506091,None,5,126.8145130506091,None,None,126.8145130506091,None,126.8145130506091,None,,,,,,,,,,,,,,,,,,,,,,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,18,18,0,27,27,45,0.6,0.67,0.33,1.0,-0.67,#NAME?,practice_stimuli/P_09_18_18_00.png,,0,2,2,2,,,,,,,,,,,134.85061420141574,None,134.85061420141574,None,135.35057011248864,None,30,135.35057011248864,None,None,135.35057011248864,None,135.35057011248864,None,,,,,,,,,,,,,,,,,,,,,,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
36,18,18,36,54,54,108,0.83,0.33,0.67,0.33,0.33,0.5,practice_stimuli/P_36_18_18_36.png,,0,3,3,3,,,,,,,,,,,143.38093173839297,None,143.38093173839297,None,143.8813638098727,None,25,143.8813638098727,None,None,143.8813638098727,None,143.8813638098727,None,,,,,,,,,,,,,,,,,,,,,,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,18.328331089061976,151.89423663864,None,,,,,,,,,,,,,,,,,,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,36,0,9,54,18,63,0.43,0.67,0.33,0.0,0.33,0.33,,stimuli/P_18_36_00_09.png,,,,,0,0,0,177,,,,,,,,,,,,,,,,,,,,,,,,,151.89423663864,None,177.6582465350366,None,177.6582465350366,None,178.10175496683223,None,178.10175496683223,None,40,178.10175496683223,None,return,4.451578696462093,178.10175496683223,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
0,36,18,9,36,18,63,0.43,1.0,0.0,0.67,-0.67,-2.0,,stimuli/P_00_36_18_09.png,,,,,0,1,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,182.60652652645513,None,182.60652652645513,None,183.0826471105247,None,183.0826471105247,None,0,183.0826471105247,None,return,3.577409630495822,183.0826471105247,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
18,9,36,0,27,54,63,0.86,0.33,0.67,1.0,-0.33,#NAME?,,stimuli/P_18_09_36_00.png,,,,,0,2,2,156,,,,,,,,,,,,,,,,,,,,,,,,,,,186.7007505357542,None,186.7007505357542,None,187.17580729669135,None,187.17580729669135,None,50,187.17580729669135,None,None,,187.17580729669135,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
9,36,9,36,45,18,90,0.6,0.8,0.2,0.2,0.0,0.0,,stimuli/P_09_36_09_36.png,,,,,0,3,3,119,,,,,,,,,,,,,,,,,,,,,,,,,,,195.19967675705993,None,195.19967675705993,None,195.69574715370254,None,195.69574715370254,None,25,195.69574715370254,None,return,4.09062578400335,195.69574715370254,None,,,WANGJIAQI,F,002,2023_Apr_18_0911,untitled,2021.1.4,60.007271287145365,
