number,type,latency,connective,pause
1,beseline,165100,,
2,222,292397,or,200
3,174,293001,or,200
4,202,293768,or,200
5,203,294401,or,200
6,204,295068,or,200
7,255,297202,or,200
8,221,301952,and,200
9,2,302435,and,200
10,202,303268,and,200
11,203,303785,and,200
12,204,304151,and,200
13,255,306018,and,200
14,211,309079,and,0
15,55,309735,and,0
16,202,310534,and,0
17,203,311134,and,0
18,204,311418,and,0
19,255,313285,and,0
20,211,317001,and,0
21,23,317734,and,0
22,202,318534,and,0
23,203,319218,and,0
24,204,319451,and,0
25,255,321318,and,0
26,222,326319,or,200
27,26,326951,or,200
28,202,327717,or,200
29,203,328351,or,200
30,204,328984,or,200
31,255,331251,or,200
32,222,334913,or,200
33,142,335767,or,200
34,202,336567,or,200
35,203,337117,or,200
36,204,337751,or,200
37,255,339717,or,200
38,222,343362,or,200
39,128,344167,or,200
40,202,344967,or,200
41,203,345534,or,200
42,204,346250,or,200
43,255,348301,or,200
44,212,351662,or,0
45,135,352517,or,0
46,202,353267,or,0
47,203,353834,or,0
48,204,354550,or,0
49,255,356651,or,0
50,212,360236,or,0
51,16,361000,or,0
52,202,361800,or,0
53,203,362317,or,0
54,204,363067,or,0
55,255,365134,or,0
56,212,368530,or,0
57,30,369300,or,0
58,202,370183,or,0
59,203,370667,or,0
60,204,371367,or,0
61,255,373500,or,0
62,211,376748,and,0
63,3,377283,and,0
64,202,378083,and,0
65,203,378683,and,0
66,204,379000,and,0
67,255,380867,and,0
68,212,384273,or,0
69,52,384950,or,0
70,202,385716,or,0
71,203,386366,or,0
72,204,387066,or,0
73,255,389300,or,0
74,211,392828,and,0
75,177,393483,and,0
76,202,394366,and,0
77,203,394916,and,0
78,204,395233,and,0
79,255,397116,and,0
80,221,400769,and,200
81,114,401566,and,200
82,202,402366,and,200
83,203,403016,and,200
84,204,403299,and,200
85,255,405216,and,200
86,221,408728,and,200
87,98,409416,and,200
88,202,410267,and,200
89,203,410900,and,200
90,204,411184,and,200
91,255,413151,and,200
92,222,416929,or,200
93,46,417700,or,200
94,202,418500,or,200
95,203,418984,or,200
96,204,419650,or,200
97,255,421666,or,200
98,211,425029,and,0
99,17,425682,and,0
100,202,426516,and,0
101,203,427199,and,0
102,204,427516,and,0
103,255,429416,and,0
104,211,432949,and,0
105,64,433682,and,0
106,202,434449,and,0
107,203,435049,and,0
108,204,435332,and,0
109,255,437249,and,0
110,221,440847,and,200
111,125,441666,and,200
112,202,442466,and,200
113,203,443016,and,200
114,204,443300,and,200
115,255,445183,and,200
116,221,449013,and,200
117,25,449750,and,200
118,202,450549,and,200
119,203,451265,and,200
120,204,451549,and,200
121,255,453582,and,200
122,211,457082,and,0
123,176,457699,and,0
124,202,458465,and,0
125,203,459015,and,0
126,204,459299,and,0
127,255,461215,and,0
128,221,464668,and,200
129,75,465232,and,200
130,202,466032,and,200
131,203,466715,and,200
132,204,466982,and,200
133,255,468915,and,200
134,222,472377,or,200
135,158,472948,or,200
136,202,473748,or,200
137,203,474348,or,200
138,204,474982,or,200
139,255,477148,or,200
140,212,480684,or,0
141,14,481365,or,0
142,202,482131,or,0
143,203,482648,or,0
144,204,483431,or,0
145,255,485465,or,0
146,212,488950,or,0
147,108,489665,or,0
148,202,490348,or,0
149,203,490865,or,0
150,204,491581,or,0
151,255,493548,or,0
152,211,496933,and,0
153,37,497615,and,0
154,202,498531,and,0
155,203,499131,and,0
156,204,499381,and,0
157,255,501298,and,0
158,222,504620,or,200
159,154,505264,or,200
160,202,506064,or,200
161,203,506581,or,200
162,204,507248,or,200
163,255,509365,or,200
164,221,513176,and,200
165,63,513831,and,200
166,202,514631,and,200
167,203,515231,and,200
168,204,515548,and,200
169,255,517448,and,200
170,212,520844,or,0
171,100,521531,or,0
172,202,522331,or,0
173,203,522897,or,0
174,204,523647,or,0
175,255,525864,or,0
176,211,530860,and,0
177,173,531547,and,0
178,202,532431,and,0
179,203,533147,and,0
180,204,533397,and,0
181,255,535331,and,0
182,221,538931,and,200
183,106,539580,and,200
184,202,540464,and,200
185,203,541064,and,200
186,204,541380,and,200
187,255,543331,and,200
188,221,546857,and,200
189,56,547514,and,200
190,202,548380,and,200
191,203,548980,and,200
192,204,549264,and,200
193,255,551164,and,200
194,221,554812,and,200
195,88,555347,and,200
196,202,556230,and,200
197,203,556864,and,200
198,204,557180,and,200
199,255,559097,and,200
200,212,562586,or,0
201,127,563397,or,0
202,202,564113,or,0
203,203,564663,or,0
204,204,565380,or,0
205,255,567447,or,0
206,212,571243,or,0
207,61,571897,or,0
208,202,572697,or,0
209,203,573180,or,0
210,204,573930,or,0
211,255,576013,or,0
212,212,579526,or,0
213,27,580180,or,0
214,202,580980,or,0
215,203,581546,or,0
216,204,582246,or,0
217,255,584263,or,0
218,212,587709,or,0
219,91,588396,or,0
220,202,589196,or,0
221,203,589713,or,0
222,204,590430,or,0
223,255,592596,or,0
224,222,596060,or,200
225,140,596913,or,200
226,202,597746,or,200
227,203,598280,or,200
228,204,598896,or,200
229,255,600996,or,200
230,222,604440,or,200
231,48,605163,or,200
232,202,606013,or,200
233,203,606529,or,200
234,204,607196,or,200
235,255,609363,or,200
236,211,612841,and,0
237,143,613579,and,0
238,202,614329,and,0
239,203,614929,and,0
240,204,615213,and,0
241,255,617163,and,0
242,222,620748,or,200
243,113,621512,or,200
244,202,622312,or,200
245,203,622829,or,200
246,204,623579,or,200
247,255,625563,or,200
248,222,628967,or,200
249,116,629779,or,200
250,202,630579,or,200
251,203,631179,or,200
252,204,631929,or,200
253,255,633996,or,200
254,211,637784,and,0
255,94,638545,and,0
256,202,639395,and,0
257,203,640062,and,0
258,204,640312,and,0
259,255,642262,and,0
260,222,646135,or,200
261,112,647062,or,200
262,202,647812,or,200
263,203,648379,or,200
264,204,648962,or,200
265,255,651179,or,200
266,221,655345,and,200
267,31,656162,and,200
268,202,656928,and,200
269,203,657645,and,200
270,204,657928,and,200
271,255,659845,and,200
272,212,695343,or,0
273,150,696111,or,0
274,202,696878,or,0
275,203,697478,or,0
276,204,698228,or,0
