Trial_Number,Box_Color,Chosed_Box,Left_Box,Right_Box,Basket
P01,GG,Left,O02,O03,O01
P01,GG,Right,O03,O02,O01
P01,GR,Left,O01,O03,O02
P01,RG,Right,O03,O01,O02
P01,RR,Left,O01,O02,O03
P01,RR,Right,O02,O01,O03
P02,GG,Left,O03,O04,O02
P02,GG,Right,O04,O03,O02
P02,GR,Left,O02,O04,O03
P02,RG,Right,O04,O02,O03
P02,RR,Left,O02,O03,O04
P02,RR,Right,O03,O02,O04
P03,GG,Left,O04,O05,O03
P03,GG,Right,O05,O04,O03
P03,GR,Left,O03,O05,O04
P03,RG,Right,O05,O03,O04
P03,RR,Left,O03,O04,O05
P03,RR,Right,O04,O03,O05
P04,GG,Left,O05,O06,O04
P04,GG,Right,O06,O05,O04
P04,GR,Left,O04,O06,O05
P04,RG,Right,O06,O04,O05
P04,RR,Left,O04,O05,O06
P04,RR,Right,O05,O04,O06
P05,GG,Left,O06,O07,O05
P05,GG,Right,O07,O06,O05
P05,GR,Left,O05,O07,O06
P05,RG,Right,O07,O05,O06
P05,RR,Left,O05,O06,O07
P05,RR,Right,O06,O05,O07
P06,GG,Left,O07,O08,O06
P06,GG,Right,O08,O07,O06
P06,GR,Left,O06,O08,O07
P06,RG,Right,O08,O06,O07
P06,RR,Left,O06,O07,O08
P06,RR,Right,O07,O06,O08
P07,GG,Left,O08,O09,O07
P07,GG,Right,O09,O08,O07
P07,GR,Left,O07,O09,O08
P07,RG,Right,O09,O07,O08
P07,RR,Left,O07,O08,O09
P07,RR,Right,O08,O07,O09
P08,GG,Left,O09,O10,O08
P08,GG,Right,O10,O09,O08
P08,GR,Left,O08,O10,O09
P08,RG,Right,O10,O08,O09
P08,RR,Left,O08,O09,O10
P08,RR,Right,O09,O08,O10
P09,GG,Left,O10,O11,O09
P09,GG,Right,O11,O10,O09
P09,GR,Left,O09,O11,O10
P09,RG,Right,O11,O09,O10
P09,RR,Left,O09,O10,O11
P09,RR,Right,O10,O09,O11
P10,GG,Left,O11,O12,O10
P10,GG,Right,O12,O11,O10
P10,GR,Left,O10,O12,O11
P10,RG,Right,O12,O10,O11
P10,RR,Left,O10,O11,O12
P10,RR,Right,O11,O10,O12
P11,GG,Left,O12,O13,O11
P11,GG,Right,O13,O12,O11
P11,GR,Left,O11,O13,O12
P11,RG,Right,O13,O11,O12
P11,RR,Left,O11,O12,O13
P11,RR,Right,O12,O11,O13
P12,GG,Left,O13,O14,O12
P12,GG,Right,O14,O13,O12
P12,GR,Left,O12,O14,O13
P12,RG,Right,O14,O12,O13
P12,RR,Left,O12,O13,O14
P12,RR,Right,O13,O12,O14
P13,GG,Left,O14,O15,O13
P13,GG,Right,O15,O14,O13
P13,GR,Left,O13,O15,O14
P13,RG,Right,O15,O13,O14
P13,RR,Left,O13,O14,O15
P13,RR,Right,O14,O13,O15
P14,GG,Left,O15,O16,O14
P14,GG,Right,O16,O15,O14
P14,GR,Left,O14,O16,O15
P14,RG,Right,O16,O14,O15
P14,RR,Left,O14,O15,O16
P14,RR,Right,O15,O14,O16
P15,GG,Left,O16,O17,O15
P15,GG,Right,O17,O16,O15
P15,GR,Left,O15,O17,O16
P15,RG,Right,O17,O15,O16
P15,RR,Left,O15,O16,O17
P15,RR,Right,O16,O15,O17
P16,GG,Left,O17,O18,O16
P16,GG,Right,O18,O17,O16
P16,GR,Left,O16,O18,O17
P16,RG,Right,O18,O16,O17
P16,RR,Left,O16,O17,O18
P16,RR,Right,O17,O16,O18
P17,GG,Left,O18,O19,O17
P17,GG,Right,O19,O18,O17
P17,GR,Left,O17,O19,O18
P17,RG,Right,O19,O17,O18
P17,RR,Left,O17,O18,O19
P17,RR,Right,O18,O17,O19
P18,GG,Left,O19,O20,O18
P18,GG,Right,O20,O19,O18
P18,GR,Left,O18,O20,O19
P18,RG,Right,O20,O18,O19
P18,RR,Left,O18,O19,O20
P18,RR,Right,O19,O18,O20
P19,GG,Left,O20,O21,O19
P19,GG,Right,O21,O20,O19
P19,GR,Left,O19,O21,O20
P19,RG,Right,O21,O19,O20
P19,RR,Left,O19,O20,O21
P19,RR,Right,O20,O19,O21
P20,GG,Left,O21,O22,O20
P20,GG,Right,O22,O21,O20
P20,GR,Left,O20,O22,O21
P20,RG,Right,O22,O20,O21
P20,RR,Left,O20,O21,O22
P20,RR,Right,O21,O20,O22
P21,GG,Left,O22,O23,O21
P21,GG,Right,O23,O22,O21
P21,GR,Left,O21,O23,O22
P21,RG,Right,O23,O21,O22
P21,RR,Left,O21,O22,O23
P21,RR,Right,O22,O21,O23
P22,GG,Left,O23,O24,O22
P22,GG,Right,O24,O23,O22
P22,GR,Left,O22,O24,O23
P22,RG,Right,O24,O22,O23
P22,RR,Left,O22,O23,O24
P22,RR,Right,O23,O22,O24
P23,GG,Left,O24,O25,O23
P23,GG,Right,O25,O24,O23
P23,GR,Left,O23,O25,O24
P23,RG,Right,O25,O23,O24
P23,RR,Left,O23,O24,O25
P23,RR,Right,O24,O23,O25
P24,GG,Left,O25,O26,O24
P24,GG,Right,O26,O25,O24
P24,GR,Left,O24,O26,O25
P24,RG,Right,O26,O24,O25
P24,RR,Left,O24,O25,O26
P24,RR,Right,O25,O24,O26
P25,GG,Left,O26,O27,O25
P25,GG,Right,O27,O26,O25
P25,GR,Left,O25,O27,O26
P25,RG,Right,O27,O25,O26
P25,RR,Left,O25,O26,O27
P25,RR,Right,O26,O25,O27
P26,GG,Left,O27,O28,O26
P26,GG,Right,O28,O27,O26
P26,GR,Left,O26,O28,O27
P26,RG,Right,O28,O26,O27
P26,RR,Left,O26,O27,O28
P26,RR,Right,O27,O26,O28
P27,GG,Left,O28,O29,O27
P27,GG,Right,O29,O28,O27
P27,GR,Left,O27,O29,O28
P27,RG,Right,O29,O27,O28
P27,RR,Left,O27,O28,O29
P27,RR,Right,O28,O27,O29
P28,GG,Left,O29,O30,O28
P28,GG,Right,O30,O29,O28
P28,GR,Left,O28,O30,O29
P28,RG,Right,O30,O28,O29
P28,RR,Left,O28,O29,O30
P28,RR,Right,O29,O28,O30
P29,GG,Left,O30,O31,O29
P29,GG,Right,O31,O30,O29
P29,GR,Left,O29,O31,O30
P29,RG,Right,O31,O29,O30
P29,RR,Left,O29,O30,O31
P29,RR,Right,O30,O29,O31
P30,GG,Left,O31,O32,O30
P30,GG,Right,O32,O31,O30
P30,GR,Left,O30,O32,O31
P30,RG,Right,O32,O30,O31
P30,RR,Left,O30,O31,O32
P30,RR,Right,O31,O30,O32
P31,GG,Left,O32,O33,O31
P31,GG,Right,O33,O32,O31
P31,GR,Left,O31,O33,O32
P31,RG,Right,O33,O31,O32
P31,RR,Left,O31,O32,O33
P31,RR,Right,O32,O31,O33
P32,GG,Left,O33,O34,O32
P32,GG,Right,O34,O33,O32
P32,GR,Left,O32,O34,O33
P32,RG,Right,O34,O32,O33
P32,RR,Left,O32,O33,O34
P32,RR,Right,O33,O32,O34
P33,GG,Left,O34,O35,O33
P33,GG,Right,O35,O34,O33
P33,GR,Left,O33,O35,O34
P33,RG,Right,O35,O33,O34
P33,RR,Left,O33,O34,O35
P33,RR,Right,O34,O33,O35
P34,GG,Left,O35,O36,O34
P34,GG,Right,O36,O35,O34
P34,GR,Left,O34,O36,O35
P34,RG,Right,O36,O34,O35
P34,RR,Left,O34,O35,O36
P34,RR,Right,O35,O34,O36
P35,GG,Left,O36,O37,O35
P35,GG,Right,O37,O36,O35
P35,GR,Left,O35,O37,O36
P35,RG,Right,O37,O35,O36
P35,RR,Left,O35,O36,O37
P35,RR,Right,O36,O35,O37
P36,GG,Left,O37,O38,O36
P36,GG,Right,O38,O37,O36
P36,GR,Left,O36,O38,O37
