0.3234 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
24.8684 	WARNING 	User requested fullscreen with size [1707 1067], but screen is actually [2560, 1600]. Using actual size
26.4761 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

26.4763 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002BDFD686080>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002BDFD6D2860>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
26.4765 	EXP 	window1: mouseVisible = True
26.4766 	EXP 	window1: recordFrameIntervals = False
26.6084 	EXP 	window1: recordFrameIntervals = True
26.6417 	WARNING 	t of last frame was 23.40ms (=1/42)
26.6753 	WARNING 	t of last frame was 23.71ms (=1/42)
26.7035 	WARNING 	t of last frame was 28.23ms (=1/35)
27.2371 	WARNING 	t of last frame was 27.01ms (=1/37)
27.3251 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
27.7688 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

31.5199 	EXP 	Created image_intr = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='P_intr.jpg', interpolate=True, mask=None, maskParams=None, name='image_intr', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.9, 1.7]), texRes=128.0, units='norm', win=Window(...))
