trialNumber,trialType,x1,p,y1,p2,outcome1,x2,q,y2,q2,outcome2,LWedgeCol,LCircleCol,RWedgeCol,RCircleCol,Lslice,Rslice,L1,L2,R1,R2,x1Pos,x2Pos,y1Pos,y2Pos,leftPoints,rightPoints,LeftYourUn,RightYouUn,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,image.started,image.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ISI_2.started,ISI_2.stopped,arrowL_2.started,arrowL_2.stopped,arrowR_2.started,arrowR_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,blueLVal_2.started,blueLVal_2.stopped,blueRVal_2.started,blueRVal_2.stopped,redLVal_2.started,redLVal_2.stopped,redRVal_2.started,redRVal_2.stopped,right.started,right.stopped,left.started,left.stopped,ISI.started,ISI.stopped,arrowL.started,arrowL.stopped,arrowR.started,arrowR.stopped,blueLVal.started,blueLVal.stopped,blueRVal.started,blueRVal.stopped,redLVal.started,redLVal.stopped,redRVal.started,redRVal.stopped,right_2.started,right_2.stopped,left_2.started,left_2.stopped,ISI_4.started,ISI_4.stopped,arrowL_3.started,arrowL_3.stopped,arrowR_3.started,arrowR_3.stopped,blueLVal_3.started,blueLVal_3.stopped,blueRVal_3.started,blueRVal_3.stopped,redLVal_3.started,redLVal_3.stopped,redRVal_3.started,redRVal_3.stopped,rating,ratingrt,text_5.started,text_5.stopped,totalScore,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,image_5.started,image_5.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.87611250000191,None,space,4.798797199997352,31.87611250000191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.70784239999193,None,space,8.03665570000885,36.70784239999193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
410,partial,0,0.2,-50,0.8,red,0,0.8,-200,0.2,red,blue,red,red,blue,72,72,77,355,5,67,"[-6.7, 1.9]","[6.7, -1.9]","[-9.3, -1.9]","[9.3, 1.9]",-50,-200,0,0,0,0,0,39,,,,,,,,,,,,,,,,,0.013356000010389835,0.5133560000103898,45.20224600000074,None,45.20224600000074,None,right,19.29692680000153,45.20224600000074,None,45.20224600000074,None,45.20224600000074,None,45.20224600000074,None,45.20224600000074,None,64.55985350000265,None,64.55985350000265,None,0.00014290001126937568,0.5001429000112694,64.55985350000265,None,64.55985350000265,None,64.55985350000265,None,64.55985350000265,None,64.55985350000265,None,64.55985350000265,None,68.62371240000357,None,68.62371240000357,None,0.00269880001724232,0.5026988000172423,68.62371240000357,None,68.62371240000357,None,68.62371240000357,None,68.62371240000357,None,68.62371240000357,None,68.62371240000357,None,-43.2,5.356,76.10101850000501,None,-200,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
429,partial,0,0.2,-50,0.8,red,-50,0.8,-200,0.2,red,blue,red,red,blue,72,72,77,355,5,67,"[-6.7, 1.9]","[6.7, -1.9]","[-9.3, -1.9]","[9.3, 1.9]",-50,-200,0,-50,0,1,1,41,,,,,,,,,,,,,,,,,0.012767599982907996,0.512767599982908,77.11822999999276,None,77.11822999999276,None,left,4.187270000009448,77.11822999999276,None,77.11822999999276,None,77.11822999999276,None,77.11822999999276,None,77.11822999999276,None,81.36665989999892,None,81.36665989999892,None,0.01649020001059398,0.516490200010594,81.36665989999892,None,81.36665989999892,None,81.36665989999892,None,81.36665989999892,None,81.36665989999892,None,81.36665989999892,None,85.68019850000564,None,85.68019850000564,None,0.003540099991369061,0.5035400999913691,85.68019850000564,None,85.68019850000564,None,85.68019850000564,None,85.68019850000564,None,85.68019850000564,None,85.68019850000564,None,-0.29999999999999716,4.296,92.07361740000488,None,-250,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
417,partial,0,0.5,-200,0.5,red,-50,0.8,-200,0.2,red,red,blue,red,blue,180,72,5,175,5,67,"[-10, 0]","[6.7, -1.9]","[-6, 0]","[9.3, 1.9]",-200,-200,0,-50,0,2,2,43,,,,,,,,,,,,,,,,,0.014182399987475947,0.514182399987476,93.11217769999348,None,93.11217769999348,None,left,11.341229500001646,93.11217769999348,None,93.11217769999348,None,93.11217769999348,None,93.11217769999348,None,93.11217769999348,None,104.51733339999919,None,104.51733339999919,None,0.0013198000087868422,0.5013198000087868,104.51733339999919,None,104.51733339999919,None,104.51733339999919,None,104.51733339999919,None,104.51733339999919,None,104.51733339999919,None,108.43202649999876,None,108.43202649999876,None,0.003670199992484413,0.5036701999924844,108.43202649999876,None,108.43202649999876,None,108.43202649999876,None,108.43202649999876,None,108.43202649999876,None,108.43202649999876,None,-27.0,3.554,114.07419280000613,None,-450,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
84,partial,0,0.5,-50,0.5,blue,0,0.5,-200,0.5,blue,red,blue,red,blue,180,180,185,355,185,355,"[-10, 0]","[6, 0]","[-6, 0]","[10, 0]",0,0,-50,-200,0,3,3,24,,,,,,,,,,,,,,,,,0.013593999989097938,0.5135939999890979,115.10740979999537,None,115.10740979999537,None,left,3.8311124999891035,115.10740979999537,None,115.10740979999537,None,115.10740979999537,None,115.10740979999537,None,115.10740979999537,None,118.97847780000302,None,118.97847780000302,None,0.002132900001015514,0.5021329000010155,118.97847780000302,None,118.97847780000302,None,118.97847780000302,None,118.97847780000302,None,118.97847780000302,None,118.97847780000302,None,123.17085779999616,None,123.17085779999616,None,0.005016200011596084,0.5050162000115961,123.17085779999616,None,123.17085779999616,None,123.17085779999616,None,123.17085779999616,None,123.17085779999616,None,123.17085779999616,None,0.20000000000000284,2.75,128.02519179999945,None,-450,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
303,partial,0,0.2,-50,0.8,red,0,0.5,-200,0.5,blue,blue,red,red,blue,72,180,77,355,185,355,"[-6.7, 1.9]","[6, 0]","[-9.3, -1.9]","[10, 0]",-50,0,0,-200,0,4,4,18,,,,,,,,,,,,,,,,,0.0009949000086635351,0.5009949000086635,129.0597213000001,None,129.0597213000001,None,left,2.9110387999971863,129.0597213000001,None,129.0597213000001,None,129.0597213000001,None,129.0597213000001,None,129.0597213000001,None,132.01692530000582,None,132.01692530000582,None,0.001498500001616776,0.5014985000016168,132.01692530000582,None,132.01692530000582,None,132.01692530000582,None,132.01692530000582,None,132.01692530000582,None,132.01692530000582,None,135.77136850000534,None,135.77136850000534,None,0.004739399999380112,0.5047393999993801,135.77136850000534,None,135.77136850000534,None,135.77136850000534,None,135.77136850000534,None,135.77136850000534,None,135.77136850000534,None,-5.799999999999997,3.572,141.4211537999945,None,-500,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
203,partial,0,0.2,-200,0.8,blue,-50,0.2,-200,0.8,red,blue,red,blue,red,72,72,5,67,77,355,"[-6.7, 1.9]","[9.3, 1.9]","[-9.3, -1.9]","[6.7, -1.9]",0,-200,-200,-50,0,5,5,1,,,,,,,,,,,,,,,,,0.013798699990729801,0.5137986999907298,142.44828399999824,None,142.44828399999824,None,left,6.364280099995085,142.44828399999824,None,142.44828399999824,None,142.44828399999824,None,142.44828399999824,None,142.44828399999824,None,148.85958140000002,None,148.85958140000002,None,0.003371100014192052,0.503371100014192,148.85958140000002,None,148.85958140000002,None,148.85958140000002,None,148.85958140000002,None,148.85958140000002,None,148.85958140000002,None,152.55701590000535,None,152.55701590000535,None,0.003191499985405244,0.5031914999854052,152.55701590000535,None,152.55701590000535,None,152.55701590000535,None,152.55701590000535,None,152.55701590000535,None,152.55701590000535,None,-0.20000000000000284,13.249,167.88867139999638,None,-500,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
275,partial,50,0.2,0,0.8,red,200,0.8,0,0.2,blue,blue,red,red,blue,72,72,77,355,77,355,"[-6.7, 1.9]","[6.7, -1.9]","[-9.3, -1.9]","[9.3, 1.9]",0,200,50,0,0,6,6,90,,,,,,,,,,,,,,,,,0.001997200000914745,0.5019972000009147,168.93197540000256,None,168.93197540000256,None,right,4.185045999998692,168.93197540000256,None,168.93197540000256,None,168.93197540000256,None,168.93197540000256,None,168.93197540000256,None,173.1813725999964,None,173.1813725999964,None,0.0014854000182822347,0.5014854000182822,173.1813725999964,None,173.1813725999964,None,173.1813725999964,None,173.1813725999964,None,173.1813725999964,None,173.1813725999964,None,176.747371999998,None,176.747371999998,None,0.004233300016494468,0.5042333000164945,176.747371999998,None,176.747371999998,None,176.747371999998,None,176.747371999998,None,176.747371999998,None,176.747371999998,None,17.900000000000006,6.996,185.81706159999885,None,-300,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
170,partial,50,0.8,0,0.2,blue,200,0.8,0,0.2,red,red,blue,red,blue,72,72,77,355,5,67,"[-9.3, -1.9]","[6.7, -1.9]","[-6.7, 1.9]","[9.3, 1.9]",50,0,0,200,0,7,7,105,,,,,,,,,,,,,,,,,0.014400900006876327,0.5144009000068763,186.83957050000026,None,186.83957050000026,None,right,1.9208762000052957,186.83957050000026,None,186.83957050000026,None,186.83957050000026,None,186.83957050000026,None,186.83957050000026,None,188.82652339999913,None,188.82652339999913,None,0.0013722000003326684,0.5013722000003327,188.82652339999913,None,188.82652339999913,None,188.82652339999913,None,188.82652339999913,None,188.82652339999913,None,188.82652339999913,None,192.59460660000332,None,192.59460660000332,None,0.003623000011430122,0.5036230000114301,192.59460660000332,None,192.59460660000332,None,192.59460660000332,None,192.59460660000332,None,192.59460660000332,None,192.59460660000332,None,0.20000000000000284,4.124,198.79101620000438,None,-300,,,,,,,,,,,,,f,24,zou jiali,2022_Jan_08_1704,emotion,2021.2.3,58.29166936011094,
