Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
393,_4,M,0,R,N,393_4M000RN,HRN,0,0,0,160,23.710548800008837,None,1.205,48.670151700032875,48.97880260000238,48.99576760001946,49.27915390004637,49.29545530001633,None,None,49.29545530001633,None,49.29545530001633,50.49476950004464,0.08983070001704618,None,,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
453,_5,N,180,R,N,453_5N180RN,HRN,0,1,1,276,,,0.781,52.87779690005118,53.22605290001957,53.242151400016155,53.52605610003229,53.54361630004132,52.87779690005118,down,53.54361630004132,None,53.54361630004132,None,0.061844499956350774,None,0.4184788999846205,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
173,F,M,180,L,N,173FM180LN,HLN,0,2,2,124,,,0.852,54.06245520000812,54.37527380004758,54.39144950004993,54.67432640003972,54.690903900016565,None,down,54.690903900016565,None,54.690903900016565,55.540861700021196,0.08631500002229586,None,2.5484894000110216,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
171,F,M,90,L,N,171FM090LN,HLN,0,3,3,122,,,1.324,57.31049030000577,57.655251800024416,57.672134899999946,57.95452570001362,57.97177340002963,None,up,57.97177340002963,None,57.97177340002963,59.2704319000477,0.06414630002109334,None,2.6334055000334047,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
043,R,M,90,L,N,043RM090LN,HLN,0,4,4,106,,,0.731,60.67435100005241,61.018930300022475,61.03549350000685,61.31840760004707,61.33511040004669,None,down,61.33511040004669,None,61.33511040004669,62.0508933000383,0.06172759999753907,None,2.648664199979976,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
289,_2,N,0,L,N,289_2N000LN,HLN,0,5,5,248,,,1.195,64.05885329999728,64.39971010002773,64.41612360003637,64.69911460002186,64.71568020002451,None,None,64.71568020002451,None,64.71568020002451,65.89807980001206,0.06798809999600053,None,,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
272,_2,M,315,R,N,272_2M315RN,HRN,0,6,6,151,,,1.349,68.25110860000132,68.59630560001824,68.61242440005299,68.89576470002066,68.91224820003845,68.25110860000132,down,68.91224820003845,None,68.91224820003845,70.24414240004262,0.06250269996235147,None,2.8821659000241198,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
385,_4,N,0,R,N,385_4N000RN,HRN,0,7,7,256,,,1.356,71.87304850004148,72.2091787000536,72.22556650004117,72.50910130003467,72.52529240003787,None,None,72.52529240003787,None,72.52529240003787,73.85765860002721,0.07011710002552718,None,,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
015,R,M,270,R,N,015RM270RN,HRN,0,8,8,102,,,1.296,76.05890950001776,76.4060138000059,76.4223120000097,76.70578090002527,76.72256429999834,76.05890950001776,down,76.72256429999834,None,76.72256429999834,78.00422100001015,0.06163080001715571,None,2.882784899964463,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
005,R,N,180,R,N,005RN180RN,HRN,0,9,9,196,,,1.096,79.67496630002279,80.01885510003194,80.03592500003288,80.31875890004449,80.33538570004748,None,up,80.33538570004748,None,80.33538570004748,81.41838889999781,0.06279629998607561,None,2.784428899991326,,,,,,,,,16,001,2019_Dec_25_1104,untitled,3.1.0,60.58307575794109,
