Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
231,G,N,270,L,N,231GN270LN,HLN,0,0,0,238,792.4174212,None,1.377,857.7830751,858.0301618,858.0301618,858.2471663,858.263763,None,None,,858.263763,None,858.263763,859.6340446,0.1844815,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
172,F,M,135,L,N,172FM135LN,HLN,0,1,1,123,,,0.97,861.9882995,862.2793131,862.2793131,862.4942726,862.5101192,861.9882995,down,0.0350505,862.5101192,None,862.5101192,None,0.2007723,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
419,_4,N,90,L,N,419_4N090LN,HLN,0,2,2,266,,,1.012,862.7884986,863.077503,863.077503,863.2600862,863.276572,None,up,2.2327864,863.276572,None,863.276572,864.2756987,0.2304649,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_4,N,180,_,_,__4N180__,N,0,3,3,84,,,0.785,865.6504349,865.9404146,865.9404146,866.2241134,866.240734,None,down,2.2984065,866.240734,None,866.240734,867.0061449,0.1285641,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
291,_2,N,90,L,N,291_2N090LN,HLN,0,4,4,250,,,0.851,868.7309648,869.0214152,869.0214152,869.2541094,869.2712287,None,up,1.9502524,869.2712287,None,869.2712287,870.1031586,0.1820841,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,R,N,180,_,_,_RN180__,N,0,5,5,68,,,1.227,871.4406002,871.7351404,871.7351404,871.9359091,871.9523653,None,up,2.6168385,871.9523653,None,871.9523653,873.1678525,0.2056569,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
136,F,N,315,R,N,136FN315RN,HRN,0,6,6,215,,,1.212,874.7992283,875.0989895,875.0989895,875.2824648,875.2991469,None,down,3.1178741,875.2991469,None,875.2991469,876.4986397,0.2220948,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,_4,M,180,_,_,__4M180__,N,0,7,7,36,,,0.747,878.5656173,878.862568,878.862568,879.1292807,879.14618,None,up,2.1478863,879.14618,None,879.14618,879.8790186,0.1371927,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
459,_5,M,90,R,N,459_5M090RN,HRN,0,8,8,178,,,1.352,881.4564673,881.7457819,881.7457819,882.0109278,882.0271168,None,down,3.0149316,882.0271168,None,882.0271168,883.3592218,0.1546433,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
270,_2,M,225,R,N,270_2M225RN,HRN,0,9,9,149,,,0.91,885.2555157,885.5567388,885.5567388,885.7576711,885.773788,None,up,2.7491835,885.773788,None,885.773788,886.6731023,0.2026806,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
458,_5,M,45,R,N,458_5M045RN,HRN,0,10,10,177,,,1.043,888.609086,888.9367184,888.9538374,889.2369071,889.2555097,None,up,2.9964934,889.2555097,None,889.2555097,890.2857098,0.0784187,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
9,R,M,0,R,N,009RM000RN,HRN,0,11,11,96,,,0.744,892.4653527,892.7651961,892.7651961,892.9666681,892.9834897,None,down,1.8196338,892.9834897,None,892.9834897,893.7171566,0.2006985,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
390,_4,N,225,R,N,390_4N225RN,HRN,0,12,12,261,,,1.377,894.9256662,895.2149327,895.2149327,895.515058,895.5318859,None,up,2.8005072,895.5318859,None,895.5318859,896.8973016,0.1115337,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
143,F,M,270,R,N,143FM270RN,HRN,0,13,13,118,,,0.797,898.4654997,898.7621102,898.7621102,899.0446434,899.06102,None,down,2.59948,899.06102,None,899.06102,899.8443866,0.1209725,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
290,_2,N,45,L,N,290_2N045LN,HLN,0,14,14,249,,,0.975,901.7913536,902.0916756,902.0916756,902.3750865,902.3915502,None,up,2.151451,902.3915502,None,902.3915502,903.3574033,0.1213589,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
_,R,N,315,_,_,_RN315__,N,0,15,15,71,,,1.056,904.6457921,904.9562189,904.973317,905.2569843,905.2734222,None,up,2.0494926,905.2734222,None,905.2734222,906.3229788,0.0911298,None,,,,,,,,,1,1,2019_Dec_20_1553,untitled,3.1.0,60.09561212
