Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
176,F,M,315,L,N,176FM315LN,HLN,0,0,0,127,255.99726699991152,None,1.235,295.81469199992716,296.10735659999773,296.10735659999773,296.34054070001,296.3572453999659,None,down,3.048566000070423,296.3572453999659,None,296.3572453999659,297.57289549999405,0.18028049997519702,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
137,F,M,0,R,N,137FM000RN,HRN,0,1,1,112,,,1.091,299.704369999934,300.00405849993695,300.00405849993695,300.2043466999894,300.22063619992696,None,down,2.5847706999629736,300.22063619992696,None,300.22063619992696,301.3036127999658,0.20297550002578646,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
296,_2,N,315,L,N,296_2N315LN,HLN,0,2,2,255,,,1.371,303.0500362999737,303.35147849994246,303.35147849994246,303.5180202999618,303.5347593999468,None,up,2.619080899981782,303.5347593999468,None,303.5347593999468,304.8998852999648,0.22914299997501075,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
492,_5,M,135,L,N,492_5M135LN,HLN,0,3,3,187,,,0.842,306.48038690001704,306.7798698999686,306.7798698999686,306.88148169999477,306.88148169999477,None,down,2.1501231000293046,306.88148169999477,None,306.88148169999477,307.7143753999844,0.3084405999397859,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_2,M,45,_,_,__2M045__,N,0,4,4,25,,,1.0070000000000001,309.2472908999771,309.54570359992795,309.54570359992795,309.74557489994913,309.76223939994816,None,up,3.099059500033036,309.76223939994816,None,309.76223939994816,310.7614070000127,0.20139399997424334,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
452,_5,N,135,R,N,452_5N135RN,HRN,0,5,5,275,,,0.722,313.06848519993946,313.3590649999678,313.3590649999678,313.5757389999926,313.5939305999782,None,up,2.2832533000037074,313.5939305999782,None,313.5939305999782,314.3082601999631,0.19421740004327148,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,R,N,225,_,_,_RN225__,N,0,6,6,69,,,1.155,316.09680980001576,316.38977159990463,316.38977159990463,316.5901896000141,316.6075755999191,None,up,2.4331770000280812,316.6075755999191,None,316.6075755999191,317.7561961999163,0.20494580001104623,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
198,G,N,225,R,N,198GN225RN,HRN,0,7,7,229,,,0.9430000000000001,319.27216829999816,319.5705052999547,319.5705052999547,319.75398449995555,319.77102059999015,None,up,2.167297299951315,319.77102059999015,None,319.77102059999015,320.7027637999272,0.2144013000652194,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
419,_4,N,90,L,N,419_4N090LN,HLN,0,8,8,266,,,1.2,322.26227949990425,322.55112700001337,322.55112700001337,322.65099999995437,322.66786819999106,None,up,2.2827393000479788,322.66786819999106,None,322.66786819999106,323.8668585999403,0.30587999999988824,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
453,_5,N,180,R,N,453_5N180RN,HRN,0,9,9,276,,,0.901,325.19641530001536,325.48412129993085,325.48412129993085,325.66589750000276,325.6852150999475,None,up,2.0969256000826135,325.6852150999475,None,325.6852150999475,326.5656136999605,0.23210509994532913,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
395,_4,M,90,R,N,395_4M090RN,HRN,0,10,10,162,,,0.978,328.04601869999897,328.346613099915,328.346613099915,328.4968408999266,328.51582789991517,None,down,3.4469010999891907,328.51582789991517,None,328.51582789991517,329.4785256999312,0.24509680003393441,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,R,M,45,_,_,_RM045__,N,0,11,11,17,,,1.359,332.19107649999205,332.49253899999894,332.49253899999894,332.6950400999049,332.6950400999049,None,down,2.9466264999937266,332.6950400999049,None,332.6950400999049,334.04171299992595,0.21000339998863637,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
047,R,M,270,L,N,047RM270LN,HLN,0,12,12,110,,,1.35,335.876211799914,336.1724640999455,336.1724640999455,336.3569995999569,336.3723872000119,None,down,2.8651528999907896,336.3723872000119,None,336.3723872000119,337.70487509993836,0.2191795000107959,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_2,M,315,_,_,__2M315__,N,0,13,13,31,,,0.979,339.4151270999573,339.7041823999025,339.7041823999025,339.95384360000025,339.9692260000156,None,None,,339.9692260000156,None,339.9692260000156,340.93488259997685,0.16628210002090782,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
002,R,N,45,R,N,002RN045RN,HRN,0,14,14,193,,,0.761,343.6303597999504,343.93240709998645,343.93240709998645,344.14910049992613,344.1655206999276,343.6303597999504,up,1.666234500007704,344.1655206999276,None,344.1655206999276,344.914949900005,0.1857231999747455,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_5,N,315,_,_,__5N315__,N,0,15,15,95,,,1.127,346.03171449992806,346.330295199994,346.330295199994,346.548161799903,346.56338389997836,None,up,2.017192200059071,346.56338389997836,None,346.56338389997836,347.6796108999988,0.18563520000316203,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
231,G,N,270,L,N,231GN270LN,HLN,0,16,16,238,,,0.988,348.7686641999753,349.06131389993243,349.06131389993243,349.29533899994567,349.31377349991817,None,up,1.8151365000521764,349.31377349991817,None,349.31377349991817,350.27733589999843,0.1760734999552369,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
037,R,N,180,L,N,037RN180LN,HLN,0,17,17,204,,,0.712,351.3868061999092,351.6762182000093,351.6762182000093,351.84289679990616,351.8588258000091,None,down,2.5158151000505313,351.8588258000091,None,351.8588258000091,352.5584456999786,0.24102519999723881,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
297,_2,M,0,L,N,297_2M000LN,HLN,0,18,18,152,,,0.761,354.5665291999467,354.85663880000357,354.85663880000357,355.0892002999317,355.10600829997566,None,down,2.4177707000635564,355.10600829997566,None,355.10600829997566,355.85525899997447,0.17975530005060136,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,F,M,270,_,_,_FM270__,N,0,19,19,6,,,1.165,357.7107257999014,358.0034190999577,358.0034190999577,358.23644989996683,358.2532734000124,None,down,2.1992629000451416,358.2532734000124,None,358.2532734000124,359.4021615999518,0.17531369999051094,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_2,N,315,_,_,__2N315__,N,0,20,20,79,,,0.929,360.6578424999025,360.95070399995893,360.95070399995893,361.16769509995356,361.18394309992436,None,up,2.168996199965477,361.18394309992436,None,361.18394309992436,362.0997324999189,0.19161029998213053,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
139,F,M,90,R,N,139FM090RN,HRN,0,21,21,114,,,1.043,363.5704022999853,363.86485289991833,363.86485289991833,364.0646549999947,364.0815655000042,None,down,2.267370800022036,364.0815655000042,None,364.0815655000042,365.1142087999033,0.20405410008970648,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,G,N,90,_,_,_GN090__,N,0,22,22,58,,,1.216,366.59984779998194,366.8959029999096,366.8959029999096,367.06230839993805,367.07890719990246,None,up,2.2336887000128627,367.07890719990246,None,367.07890719990246,368.27767169999424,0.235524500021711,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,F,N,90,_,_,_FN090__,N,0,23,23,50,,,1.391,369.57546279998496,369.8746250999393,369.8746250999393,370.0262158999685,370.0428258999018,None,up,3.2341841999441385,370.0428258999018,None,370.0428258999018,371.4250255000079,0.24455800000578165,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,F,N,225,_,_,_FN225__,N,0,24,24,53,,,0.981,373.4813645000104,373.77437220001593,373.77437220001593,373.98958980001044,374.0064546999056,None,up,2.2839480999391526,374.0064546999056,None,374.0064546999056,374.9724148999667,0.19064929999876767,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,_2,M,0,_,_,__2M000__,N,0,25,25,24,,,1.114,376.49082800000906,376.78708519996144,376.78708519996144,377.00348309997935,377.02035569993313,None,down,2.4499927000142634,377.02035569993313,None,377.02035569993313,378.1191881999839,0.1869371000211686,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
_,R,M,90,_,_,_RM090__,N,0,26,26,18,,,0.979,379.6532655999763,379.95126249990426,379.95126249990426,380.1841559999157,380.2011555999052,None,down,2.049443900003098,380.2011555999052,None,380.2011555999052,381.1667762999423,0.1698259999975562,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
397,_4,M,180,R,N,397_4M180RN,HRN,0,27,27,164,,,1.22,382.47485809994396,382.765049599926,382.765049599926,382.96492749999743,382.9821415999904,None,up,1.9338084999471903,382.9821415999904,None,382.9821415999904,384.18110159994103,0.20936159999109805,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
239,G,M,270,L,N,239GM270LN,HLN,0,28,28,142,,,0.8290000000000001,385.14977909997106,385.4463300999487,385.4463300999487,385.6293017999269,385.64604099991266,None,down,2.050346300005913,385.64604099991266,None,385.64604099991266,386.46179430000484,0.22015559999272227,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
400,_4,M,315,R,N,400_4M315RN,HRN,0,29,29,167,,,1.177,387.91443469992373,388.21014179999474,388.21014179999474,388.4100710999919,388.4266626999015,None,up,2.165909899980761,388.4266626999015,None,388.4266626999015,389.59237699990626,0.20564880000893027,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
259,_2,N,90,R,N,259_2N090RN,HRN,0,30,30,242,,,1.3760000000000001,390.8029994999524,391.0913763999706,391.0913763999706,391.30751760001294,391.3243496000068,None,up,2.950450300006196,391.3243496000068,None,391.3243496000068,392.69028609991074,0.19843980006407946,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
034,R,N,45,L,N,034RN045LN,HLN,0,31,31,201,,,1.31,394.48989630001597,394.7876557999989,394.7876557999989,394.9876465999987,395.0045111000072,None,down,2.1671506999991834,395.0045111000072,None,395.0045111000072,396.303855999955,0.20255980000365525,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
301,_2,M,180,L,N,301_2M180LN,HLN,0,32,32,156,,,0.974,397.4399294999894,397.73563739995006,397.73563739995006,397.8854477999266,397.9024497999344,None,up,2.816442299983464,397.9024497999344,None,397.9024497999344,398.8674541999353,0.2519873999990523,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
393,_4,M,0,R,N,393_4M000RN,HRN,0,33,33,160,,,0.806,400.96262989996467,401.25087799993344,401.25087799993344,401.43212479993235,401.4487315999577,None,up,1.669023200054653,401.4487315999577,None,401.4487315999577,402.2480203999439,0.22919669991824776,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
289,_2,N,0,L,N,289_2N000LN,HLN,0,34,34,248,,,1.01,403.31166569993366,403.5984233999625,403.5984233999625,403.82992589997593,403.8465429999633,None,up,2.0684965000255033,403.8465429999633,None,403.8465429999633,404.8460308999056,0.1815175999654457,None,,,,,,,,,39,001,2020_Jan_03_1652,untitled,3.1.0,60.08315511833204,
