Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
294,_2,N,225,L,N,294_2N225LN,HLN,0,0,0,253,46.0341841,None,0.705,51.8295099,52.1268159,52.1268159,52.2101515,52.2300627,None,None,52.2300627,None,52.2300627,52.9267812,0.3158409,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
197,G,N,180,R,N,197GN180RN,HRN,0,1,1,228,,,0.701,56.1553146,56.4564078,56.4564078,56.5898251,56.5898251,56.1553146,None,56.5898251,None,56.5898251,57.288394,0.2725056,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
396,_4,M,135,R,N,396_4M135RN,HRN,0,2,2,163,,,1.137,60.3633877,60.6542945,60.6542945,60.7860054,60.8025089,60.3633877,up,60.8025089,None,60.8025089,None,0.2826788,None,0.1844527,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,M,135,_,_,__5M135__,N,0,3,3,43,,,0.931,61.2152184,61.5185134,61.5185134,61.7018572,61.7182835,None,down,61.7182835,None,61.7182835,62.6340787,0.2154479,None,2.2999823,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,M,315,_,_,_RM315__,N,0,4,4,23,,,0.953,64.651581,64.9487195,64.9487195,65.0320096,65.0487168,None,down,65.0487168,None,65.0487168,65.9811541,0.3199991,None,2.2832467,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
15,R,M,270,R,N,015RM270RN,HRN,0,5,5,102,,,1.27,67.5787572,67.8796356,67.8796356,68.0459487,68.0628116,None,down,68.0628116,None,68.0628116,69.3115089,0.2337281,None,2.5343705,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,N,270,_,_,_FN270__,N,0,6,6,54,,,1.265,70.9439297,71.2433269,71.2433269,71.3101038,71.3273917,None,up,71.3273917,None,71.3273917,72.5755035,0.3320002,None,2.4824086,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
11,R,M,90,R,N,011RM090RN,HRN,0,7,7,98,,,1.225,74.1680661,74.4570369,74.4570369,74.5239876,74.5410047,None,up,74.5410047,None,74.5410047,75.7569112,0.3434689,None,2.4813864,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
489,_5,M,0,L,N,489_5M000LN,HLN,0,8,8,184,,,1.258,77.4409921,77.4409921,77.4409921,77.7377648,77.754498,None,down,77.754498,None,77.754498,79.0039136,0.4070367,None,2.7161052,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,M,225,_,_,_GM225__,N,0,9,9,13,,,1.162,80.7757962,81.0681003,81.0681003,81.1846116,81.2013091,None,up,81.2013091,None,81.2013091,82.3504489,0.2927559,None,2.6494409,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
422,_4,N,225,L,N,422_4N225LN,HLN,0,10,10,269,,,1.167,84.1871457,84.4816998,84.4816998,84.5650093,84.5816987,None,up,84.5816987,None,84.5816987,85.7314033,0.3214418,None,2.2339751,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,N,0,_,_,_FN000__,N,0,11,11,48,,,1.015,87.1655131,87.4627896,87.4627896,87.5294572,87.5462218,None,up,87.5462218,None,87.5462218,88.5458788,0.3332811,None,2.2013709,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
14,R,M,225,R,N,014RM225RN,HRN,0,12,12,101,,,0.727,90.0485622,90.3430883,90.3430883,90.4766775,90.4766775,None,up,90.4766775,None,90.4766775,91.192452,0.2823735,None,1.8834457,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
239,G,M,270,L,N,239GM270LN,HLN,0,13,13,142,,,0.713,92.6698292,92.9584319,92.9584319,93.0747641,93.0913157,None,None,93.0913157,None,93.0913157,93.7903199,0.2965873,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,M,270,_,_,__2M270__,N,0,14,14,30,,,0.76,96.7853059,97.088002,97.088002,97.2707316,97.2871553,96.7853059,down,97.2871553,None,97.2871553,98.0363446,0.2188235,None,1.8861309,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,M,315,_,_,__4M315__,N,0,15,15,39,,,1.094,99.4363793,99.7354068,99.7354068,99.9033842,99.9033842,None,down,99.9033842,None,99.9033842,100.98515,0.2448727,None,2.0486392,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,N,45,_,_,_FN045__,N,0,16,16,49,,,1.277,102.2956884,102.5841081,102.5841081,102.6661122,102.6832815,None,down,102.6832815,None,102.6832815,103.9481054,0.3297279,None,2.0322176,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,F,M,45,_,_,_FM045__,N,0,17,17,1,,,1.073,104.9124428,105.215471,105.215471,105.4304245,105.4472634,None,down,105.4472634,None,105.4472634,106.5123597,0.1841366,None,2.717019,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_4,N,180,_,_,__4N180__,N,0,18,18,84,,,0.939,108.4011658,108.6950683,108.6950683,108.8772261,108.8943601,None,down,108.8943601,None,108.8943601,109.8263149,0.223704,None,2.5658611,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,N,135,_,_,__5N135__,N,0,19,19,91,,,1.056,111.7618664,112.0577578,112.0577578,112.1742904,112.1910898,None,up,112.1910898,None,112.1910898,113.2399908,0.2876485,None,2.1333526,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
263,_2,N,270,R,N,263_2N270RN,HRN,0,20,20,246,,,0.757,115.2283841,115.5212561,115.5212561,115.7385396,115.7558849,None,up,115.7558849,None,115.7558849,116.5042966,0.19123,None,2.1330535,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,M,90,_,_,_RM090__,N,0,21,21,18,,,1.05,118.2527532,118.5522798,118.5522798,118.6023286,118.6188885,None,down,118.6188885,None,118.6188885,119.6516631,0.3470079,None,2.3011658,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
457,_5,M,0,R,N,457_5M000RN,HRN,0,22,22,176,,,1.361,121.2713858,121.5660686,121.5660686,121.6497307,121.6497307,None,down,121.6497307,None,121.6497307,122.9979991,0.3299096,None,2.349098,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
419,_4,N,90,L,N,419_4N090LN,HLN,0,23,23,266,,,1.009,124.2334675,124.5300788,124.5300788,124.7132739,124.7305807,None,up,124.7305807,None,124.7305807,125.7296145,0.222035,None,2.0656406,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
462,_5,M,225,R,N,462_5M225RN,HRN,0,24,24,181,,,0.891,127.1231084,127.4119035,127.4119035,127.5107589,127.5273721,None,down,127.5273721,None,127.5273721,128.4101725,0.3119679,None,2.484875,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,M,225,_,_,__5M225__,N,0,25,25,45,,,1.228,130.3039215,130.5932246,130.5932246,130.7420371,130.7420371,None,None,130.7420371,None,130.7420371,131.958664,0.2745979,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
168,F,N,315,L,N,168FN315LN,HLN,0,26,26,223,,,0.724,134.5732208,134.8715759,134.8715759,134.9384779,134.9550718,134.5732208,up,134.9550718,None,134.9550718,135.6713518,0.3341437,None,2.1014575,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
201,G,M,0,R,N,201GM000RN,HRN,0,27,27,128,,,1.229,137.3907398,137.6853646,137.6853646,137.786408,137.786408,None,None,137.786408,None,137.786408,139.0007643,0.3167866,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
142,F,M,225,R,N,142FM225RN,HRN,0,28,28,117,,,1.276,141.4707362,141.7648744,141.7648744,141.9814128,141.9980749,141.4707362,up,141.9980749,None,141.9980749,143.2637411,0.1941554,None,2.3509867,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
230,G,N,225,L,N,230GN225LN,HLN,0,29,29,237,,,0.771,144.6568746,144.9457846,144.9457846,145.0622179,145.0787663,None,up,145.0787663,None,145.0787663,145.8285768,0.2954109,None,2.3499818,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,N,180,_,_,_GN180__,N,0,30,30,60,,,1.261,147.7674919,148.0599397,148.0599397,148.1428626,148.1596205,None,up,148.1596205,None,148.1596205,149.4085919,0.326594,None,2.2661754,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,R,M,135,_,_,_RM135__,N,0,31,31,19,,,1.367,150.7604665,151.0568139,151.0568139,151.1401184,151.1568805,None,None,151.1568805,None,151.1568805,152.5064143,0.3178601,None,,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
165,F,N,180,L,N,165FN180LN,HLN,0,32,32,220,,,1.067,154.9061262,155.2033729,155.2033729,155.3368685,155.3533515,154.9061262,up,155.3533515,None,155.3533515,156.4026165,0.2740169,None,2.3324971,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,N,270,_,_,__5N270__,N,0,33,33,94,,,1.392,157.9203463,158.2174317,158.2174317,158.400319,158.4170562,None,up,158.4170562,None,158.4170562,159.7992174,0.2206101,None,2.4838593,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_5,N,180,_,_,__5N180__,N,0,34,34,92,,,1.065,161.1111421,161.3988311,161.3988311,161.6142715,161.6310692,None,up,161.6310692,None,161.6310692,162.6802652,0.1973125,None,2.4347463,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
37,R,N,180,L,N,037RN180LN,HLN,0,35,35,204,,,1.277,164.3899637,164.6794788,164.6794788,164.778529,164.7958589,None,up,164.7958589,None,164.7958589,166.0603935,0.311972,None,2.9819679,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,G,N,45,_,_,_GN045__,N,0,36,36,57,,,0.747,168.1455241,168.4423108,168.4423108,168.4921119,168.5098878,None,up,168.5098878,None,168.5098878,169.241261,0.350345,None,1.9663424,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
202,G,M,45,R,N,202GM045RN,HRN,0,37,37,129,,,0.931,170.6953661,170.9896899,170.9896899,171.189331,171.2061795,None,down,171.2061795,None,171.2061795,172.1220444,0.2046969,None,2.1164357,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
_,_2,N,0,_,_,__2N000__,N,0,38,38,72,,,1.244,173.5446641,173.8375238,173.8375238,174.0370909,174.053561,None,up,174.053561,None,174.053561,175.2862942,0.2090769,None,2.6326077,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
299,_2,M,90,L,N,299_2M090LN,HLN,0,39,39,154,,,0.947,176.9236771,177.2174864,177.2174864,177.4006486,177.4173228,None,down,177.4173228,None,177.4173228,178.3498291,0.2255587,None,2.0498346,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
491,_5,M,90,L,N,491_5M090LN,HLN,0,40,40,186,,,0.718,179.7598075,180.0485136,180.0485136,180.1822178,180.1990836,None,down,180.1990836,None,180.1990836,180.8979104,0.2782189,None,3.264317,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
137,F,M,0,R,N,137FM000RN,HRN,0,41,41,112,,,0.912,183.8477415,184.1450723,184.1450723,184.1788459,184.1954216,None,down,184.1954216,None,184.1954216,185.094012,0.3686486,None,1.8321493,,,,,,,,,47,1,2020_Jan_03_1559,untitled,3.1.0,60.04628368
