Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.rt,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
386,_4,N,45,R,N,386_4N045RN,HRN,0,0,0,257,336.2443136,None,0.78,380.0378155,380.3403527,380.3403527,380.5578145,380.5578145,None,up,3.4307664,380.5578145,None,380.5578145,381.3229624,0.1909724,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
170,F,M,45,L,N,170FM045LN,HLN,0,1,1,121,,,0.747,384.2766618,384.5708243,384.5708243,384.7724729,384.7919374,None,up,3.2104145,384.7919374,None,384.7919374,385.5368522,0.1980119,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
137,F,M,0,R,N,137FM000RN,HRN,0,2,2,112,,,1.322,388.2381748,388.5341263,388.5341263,388.7163961,388.7334111,None,up,2.4323946,388.7334111,None,388.7334111,390.0487462,0.2209608,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,G,M,270,_,_,_GM270__,N,0,3,3,14,,,1.154,391.3694609,391.6639855,391.6639855,391.8803858,391.8971186,None,down,2.6509084,391.8971186,None,391.8971186,393.0461699,0.1907983,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
294,_2,N,225,L,N,294_2N225LN,HLN,0,4,4,253,,,1.27,394.770351,395.0610603,395.0610603,395.2611163,395.2779216,None,up,2.7156396,395.2779216,None,395.2779216,396.5431981,0.2058366,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
425,_4,M,0,L,N,425_4M000LN,HLN,0,5,5,168,,,0.968,398.1923977,398.4913342,398.4913342,398.707895,398.7243963,None,up,2.9174412,398.7243963,None,398.7243963,399.6735655,0.1853959,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,_2,N,0,_,_,__2N000__,N,0,6,6,72,,,0.849,401.8360614,402.1231455,402.1231455,402.3547088,402.371233,None,up,1.8179972,402.371233,None,402.371233,403.2040312,0.1806779,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
394,_4,M,45,R,N,394_4M045RN,HRN,0,7,7,161,,,1.373,404.392659,404.6859316,404.6859316,404.9023712,404.9190918,None,None,,404.9190918,None,404.9190918,406.2846832,0.190928,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,R,M,180,_,_,_RM180__,N,0,8,8,20,,,0.705,408.5947608,408.8847806,408.8847806,409.0990535,409.1154732,408.5947608,up,2.7485954,409.1154732,None,409.1154732,409.7995939,0.199122,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,R,M,270,_,_,_RM270__,N,0,9,9,22,,,0.82,412.078507,412.3795816,412.3795816,412.5792354,412.5963285,None,down,2.3984539,412.5963285,None,412.5963285,413.3949042,0.2010265,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
2,R,N,45,R,N,002RN045RN,HRN,0,10,10,193,,,1.27,415.18279,415.4836038,415.4836038,415.7119966,415.7317226,None,up,3.2780965,415.7317226,None,415.7317226,416.9754609,0.1756048,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
421,_4,N,180,L,N,421_4N180LN,HLN,0,11,11,268,,,0.939,419.2577875,419.5563017,419.5563017,419.7227509,419.7393948,None,up,3.3818308,419.7393948,None,419.7393948,420.6719479,0.2302353,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
36,R,N,135,L,N,036RN135LN,HLN,0,12,12,203,,,1.166,423.3121645,423.602843,423.602843,423.835832,423.852513,None,up,2.7173181,423.852513,None,423.852513,425.0018697,0.1773934,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,G,M,0,_,_,_GM000__,N,0,13,13,8,,,1.191,426.773356,427.066373,427.066373,427.2832163,427.2999621,None,down,2.7981853,427.2999621,None,427.2999621,428.4818286,0.1902703,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,R,N,0,_,_,_RN000__,N,0,14,14,64,,,0.799,430.2909386,430.5803894,430.5803894,430.8147137,430.8366425,None,up,1.9439384,430.8366425,None,430.8366425,431.6123528,0.1801951,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
496,_5,M,315,L,N,496_5M315LN,HLN,0,15,15,191,,,1.07,432.9968179,433.2945168,433.2945168,433.4940974,433.5108037,None,None,,433.5108037,None,433.5108037,434.5599599,0.2026171,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
204,G,M,135,R,N,204GM135RN,HRN,0,16,16,131,,,1.186,437.1597664,437.457287,437.457287,437.6903929,437.707129,437.1597664,None,,437.707129,None,437.707129,438.8729427,0.174186,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,R,M,315,_,_,_RM315__,N,0,17,17,23,,,1.258,441.3583638,441.6535579,441.6535579,441.8866187,441.9033835,441.3583638,down,3.0151007,441.9033835,None,441.9033835,443.1525807,0.1743753,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
46,R,M,225,L,N,046RM225LN,HLN,0,18,18,109,,,1.361,445.105705,445.4004518,445.4004518,445.633289,445.6500933,None,down,2.982765,445.6500933,None,445.6500933,446.9993283,0.1749631,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
290,_2,N,45,L,N,290_2N045LN,HLN,0,19,19,249,,,0.848,448.8575572,449.1470228,449.1470228,449.3474016,449.3636723,None,up,2.7331876,449.3636723,None,449.3636723,450.1962606,0.2117814,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
11,R,M,90,R,N,011RM090RN,HRN,0,20,20,98,,,1.126,452.3054807,452.593969,452.593969,452.8106328,452.827316,None,down,2.6155371,452.827316,None,452.827316,453.9431552,0.1959631,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
15,R,M,270,R,N,015RM270RN,HRN,0,21,21,102,,,1.293,455.6568719,455.9576905,455.9576905,456.157521,456.1741972,None,down,2.4835663,456.1741972,None,456.1741972,457.4565926,0.201275,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
463,_5,M,270,R,N,463_5M270RN,HRN,0,22,22,182,,,1.368,458.9049,459.2051438,459.2051438,459.3718032,459.3887269,None,down,3.1487247,459.3887269,None,459.3887269,460.7534377,0.2301621,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
47,R,M,270,L,N,047RM270LN,HLN,0,23,23,110,,,0.872,462.754951,463.0516296,463.0516296,463.2513363,463.2681802,None,down,2.1832856,463.2681802,None,463.2681802,464.1339659,0.2021082,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
395,_4,M,90,R,N,395_4M090RN,HRN,0,24,24,162,,,0.766,465.6555759,465.9490875,465.9490875,466.1653516,466.1822648,None,down,3.3838976,466.1822648,None,466.1822648,466.9314819,0.1921351,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
37,R,N,180,L,N,037RN180LN,HLN,0,25,25,204,,,1.29,469.7640108,470.0623788,470.0623788,470.2788556,470.295513,None,up,3.0005328,470.295513,None,470.295513,471.5777927,0.186173,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
45,R,M,180,L,N,045RM180LN,HLN,0,26,26,108,,,1.025,473.5233465,473.810952,473.810952,474.0090127,474.025986,None,down,2.6990797,474.025986,None,474.025986,475.042282,0.2124089,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
_,G,M,225,_,_,_GM225__,N,0,27,27,13,,,1.26,476.9602201,477.2578713,477.2578713,477.4391286,477.4560156,None,None,,477.4560156,None,477.4560156,478.7041867,0.2225579,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
3,R,N,90,R,N,003RN090RN,HRN,0,28,28,194,,,1.16,481.1107739,481.4022542,481.4022542,481.635316,481.6520566,481.1107739,down,2.7328893,481.6520566,None,481.6520566,482.8012757,0.18073,None,,,,,,,,,49,1,2020_Jan_03_1714,untitled,3.1.0,60.12028869
