Number,Letter,type,Orientation,human,face_type,image,picture,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,stimulus_duration,CROSS.started,CROSS.stopped,BLANK.started,BLANK.stopped,TEST.started,TEST.stopped,key_JUDGE.keys,key_JUDGE.started,key_JUDGE.stopped,image_2.started,image_2.stopped,ISI.started,ISI.stopped,key_JUDGE.rt,q1.started,q1.stopped,q2.started,q2.stopped,q3.started,q3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
_,_2,N,270,_,_,__2N270__,N,0,0,0,78,356.0121993,None,1.0170000000000001,387.3449746,387.3449746,387.3449746,387.48442950000003,387.48442950000003,None,None,387.48442950000003,None,387.48442950000003,388.31743730000005,0.5967726000000084,None,,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
450,_5,N,45,R,N,450_5N045RN,HRN,0,1,1,273,,,1.1,391.07477630000005,391.36420269999996,391.36420269999996,391.5310177,391.5310177,391.07477630000005,up,391.5310177,None,391.5310177,392.6305271,0.25605719999998655,None,3.2486829999999145,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
238,G,M,225,L,N,238GM225LN,HLN,0,2,2,141,,,0.737,395.12393069999996,395.41242580000005,395.41242580000005,395.4941172,395.5111838,None,None,395.5111838,None,395.5111838,396.2275369,0.3320453000000043,None,,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
175,F,M,270,L,N,175FM270LN,HLN,0,3,3,126,,,0.849,399.2652368,399.55771590000006,399.55771590000006,399.73536939999997,399.73536939999997,399.2652368,down,399.73536939999997,None,399.73536939999997,400.53933730000006,0.2799859999998944,None,2.570239700000002,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
_,_5,M,90,_,_,__5M090__,N,0,4,4,42,,,1.0050000000000001,402.58417899999995,402.8856653,402.8856653,403.02080850000004,403.03727089999995,None,down,403.03727089999995,None,403.03727089999995,404.0202505,0.2679349000000002,None,3.3144529999999577,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
400,_4,M,315,R,N,400_4M315RN,HRN,0,5,5,167,,,1.203,406.5344413,406.8341776,406.8341776,407.06728580000004,407.08377340000004,None,up,407.08377340000004,None,407.08377340000004,408.2660939,0.1727703000000247,None,2.532378400000084,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
_,G,M,270,_,_,_GM270__,N,0,6,6,14,,,0.9570000000000001,409.91465919999996,410.21445070000004,410.21445070000004,410.33110350000004,410.34811120000006,None,None,410.34811120000006,None,410.34811120000006,411.2968554,0.28749149999998735,None,,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
292,_2,N,135,L,N,292_2N135LN,HLN,0,7,7,251,,,1.116,414.0984737,414.3941397,414.3941397,414.52768679999997,414.54425879999997,414.0984737,up,414.54425879999997,None,414.54425879999997,415.64344500000004,0.27635720000000674,None,2.1321808999999803,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
046,R,M,225,L,N,046RM225LN,HLN,0,8,8,109,,,1.293,416.8921974,417.19168609999997,417.19168609999997,417.3914807,417.4082446,None,down,417.4082446,None,417.4082446,418.69039180000004,0.20512990000008813,None,2.498581999999942,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
_,G,N,225,_,_,_GN225__,N,0,9,9,61,,,0.8250000000000001,420.2046309,420.50564110000005,420.50564110000005,420.62214900000004,420.6388293,None,down,420.6388293,None,420.6388293,421.45488380000006,0.28628379999997833,None,3.3979458000000022,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
422,_4,N,225,L,N,422_4N225LN,HLN,0,10,10,269,,,1.337,424.33588169999996,424.63545450000004,424.63545450000004,424.75197019999996,424.7686813,None,None,424.7686813,None,424.7686813,426.0842315,0.2882309000000305,None,,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
041,R,M,0,L,N,041RM000LN,HLN,0,11,11,104,,,1.309,428.53933159999997,428.8317499,428.8317499,428.9483305,428.96496779999995,428.53933159999997,down,428.96496779999995,None,428.96496779999995,430.2642277,0.2940557000000581,None,2.5156721000000744,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
228,G,N,135,L,N,228GN135LN,HLN,0,12,12,235,,,1.034,431.73730309999996,432.029179,432.029179,432.19537579999997,432.2120386,None,down,432.2120386,None,432.2120386,433.22794999999996,0.2459695999999667,None,2.631853200000023,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
226,G,N,45,L,N,226GN045LN,HLN,0,13,13,233,,,1.108,435.15987040000005,435.4593151,435.4593151,435.559628,435.57597699999997,None,up,435.57597699999997,None,435.57597699999997,436.67502720000005,0.30445829999996477,None,2.4834076999999297,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
486,_5,N,225,L,N,486_5N225LN,HLN,0,14,14,285,,,1.02,438.3941214,438.6901927,438.6901927,438.77388170000006,438.79022710000004,None,up,438.79022710000004,None,438.79022710000004,439.7890966,0.32309799999995903,None,2.9979581000000053,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
270,_2,M,225,R,N,270_2M225RN,HRN,0,15,15,149,,,1.204,442.00768860000005,442.3038739,442.3038739,442.5038912,442.5204668,None,down,442.5204668,None,442.5204668,443.70277840000006,0.20807839999997668,None,3.014404900000045,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
257,_2,N,0,R,N,257_2N000RN,HRN,0,16,16,240,,,0.788,445.9372661,446.2183903,446.23339139999996,446.2500149,446.2666266,None,up,446.2666266,None,446.2666266,447.04912020000006,0.38705289999995784,None,1.982500400000049,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
459,_5,M,90,R,N,459_5M090RN,HRN,0,17,17,178,,,1.02,448.56462139999996,448.86456339999995,448.86456339999995,448.9645127,448.98110959999997,None,down,448.98110959999997,None,448.98110959999997,449.98032320000004,0.30439749999993637,None,3.0312823999998955,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
449,_5,N,0,R,N,449_5N000RN,HRN,0,18,18,272,,,1.2550000000000001,452.2393796,452.5289205,452.5289205,452.7277586,452.7441817,None,up,452.7441817,None,452.7441817,453.97680920000005,0.2154831999999942,None,1.9829335000000583,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
295,_2,N,270,L,N,295_2N270LN,HLN,0,19,19,254,,,1.046,455.03583690000005,455.3253211,455.3253211,455.4421089,455.45981040000004,None,up,455.45981040000004,None,455.45981040000004,456.49222,0.29744030000006205,None,2.3316562999999633,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
388,_4,N,135,R,N,388_4N135RN,HRN,0,20,20,259,,,0.8130000000000001,458.0276077,458.32290190000003,458.32290190000003,458.506398,458.52294070000005,None,down,458.52294070000005,None,458.52294070000005,459.3217571,0.22063950000006116,None,2.7655776999999944,,,,,,,,,54,001,2020_Jan_13_1334,untitled,3.1.0,60.06078151091312,
